CD_MUN,NM_MUN,Populacao_Residente_2022,Area_Da_Unidade_territorial_km²,Densidade_Demografica_2022
3532058,Motuca,4034,"228,7","17,64"
3532108,Murutinga do Sul,3737,"250,873","14,9"
3532157,Nantes,2660,"286,647","9,28"
3532207,Narandiba,5713,"357,325","15,99"
3532306,Natividade da Serra,6999,"833,372","8,4"
3532405,Nazaré Paulista,18217,"326,254","55,84"
3532504,Neves Paulista,9699,"219,05","44,28"
3532603,Nhandeara,9852,"436,159","22,59"
3532702,Nipoã,4750,"137,609","34,52"
3532801,Nova Aliança,6693,"217,515","30,77"
3532827,Nova Campina,8497,"385,375","22,05"
3532843,Nova Canaã Paulista,2032,"124,473","16,32"
3532868,Nova Castilho,1062,"183,396","5,79"
3532900,Nova Europa,9311,"160,25","58,1"
3533007,Nova Granada,19419,"531,796","36,52"
3533106,Nova Guataporanga,2156,"34,158","63,12"
3533205,Nova Independência,4609,"265,029","17,39"
3533254,Novais,4412,"117,772","37,46"
3533304,Nova Luzitânia,2837,"73,816","38,43"
3533403,Nova Odessa,62019,"73,788","840,5"
3533502,Novo Horizonte,38324,"931,743","41,13"
3533601,Nuporanga,7391,"348,265","21,22"
3533700,Ocauçu,4331,"301,036","14,39"
3533809,Óleo,2512,"198,938","12,63"
3533908,Olímpia,55074,"802,555","68,62"
3534005,Onda Verde,4771,"242,946","19,64"
3534104,Oriente,6085,"218,668","27,83"
3534203,Orindiúva,6024,"247,378","24,35"
3534302,Orlândia,38319,"291,765","131,34"
3534401,Osasco,728615,"64,954","11217,4"
3534500,Oscar Bressane,2470,"222,13","11,12"
3534609,Osvaldo Cruz,31272,"248,038","126,08"
3534708,Ourinhos,103970,"295,818","351,47"
3534757,Ouroeste,10294,"288,648","35,66"
3534807,Ouro Verde,7779,"266,778","29,16"
3534906,Pacaembu,14877,"339,375","43,84"
3535002,Palestina,11476,"697,701","16,45"
3535101,Palmares Paulista,9650,"82,125","117,5"
3535200,Palmeira d'Oeste,8903,"318,74","27,93"
3535309,Palmital,19594,"548,407","35,73"
3535408,Panorama,14964,"356,05","42,03"
3535507,Paraguaçu Paulista,41120,"1001,492","41,06"
3535606,Paraibuna,17667,"809,576","21,82"
3535705,Paraíso,6099,"155,186","39,3"
3535804,Paranapanema,19395,"1018,724","19,04"
3535903,Paranapuã,4031,"140,354","28,72"
3536000,Parapuã,10580,"366,664","28,85"
3536109,Pardinho,7153,"209,894","34,08"
3536208,Pariquera-Açu,19233,"359,414","53,51"
3536257,Parisi,2892,"84,737","34,13"
3536307,Patrocínio Paulista,14512,"602,848","24,07"
3536406,Paulicéia,7955,"374,091","21,26"
3536505,Paulínia,110537,"138,777","796,51"
3536570,Paulistânia,2090,"256,178","8,16"
3536604,Paulo de Faria,7400,"737,986","10,03"
3536703,Pederneiras,44827,"727,482","61,62"
3536802,Pedra Bela,6557,"158,587","41,35"
3536901,Pedranópolis,2787,"260,101","10,72"
3537008,Pedregulho,15525,"712,604","21,79"
3537107,Pedreira,43112,"108,817","396,19"
3537156,Pedrinhas Paulista,2804,"152,309","18,41"
3537206,Pedro de Toledo,11281,"670,44","16,83"
3537305,Penápolis,61679,"711,315","86,71"
3537404,Pereira Barreto,24095,"974,247","24,73"
3537503,Pereiras,8737,"223,136","39,16"
3537602,Peruíbe,68352,"326,216","209,53"
3537701,Piacatu,5519,"232,488","23,74"
3537800,Piedade,52970,"746,868","70,92"
3537909,Pilar do Sul,27619,"681,248","40,54"
3538006,Pindamonhangaba,165428,"731,355","226,19"
3538105,Pindorama,14542,"184,825","78,68"
3538204,Pinhalzinho,15224,"154,529","98,52"
3538303,Piquerobi,3264,"482,769","6,76"
3538501,Piquete,12490,"175,996","70,97"
3538600,Piracaia,26029,"385,568","67,51"
3538709,Piracicaba,423323,"1378,069","307,19"
3538808,Piraju,29436,"504,591","58,34"
3538907,Pirajuí,22431,"823,758","27,23"
3539004,Pirangi,10885,"215,809","50,44"
3539103,Pirapora do Bom Jesus,18370,"108,489","169,33"
3539202,Pirapozinho,25348,"477,673","53,07"
3539301,Pirassununga,73545,"727,118","101,15"
3539400,Piratininga,15108,"402,409","37,54"
3539509,Pitangueiras,33674,"430,638","78,2"
3539608,Planalto,4389,"289,825","15,14"
3539707,Platina,3025,"327,48","9,24"
3539806,Poá,103765,"17,264","6010,48"
3539905,Poloni,5592,"135,12","41,39"
3540002,Pompéia,20196,"784,674","25,74"
3540101,Pongaí,3395,"183,399","18,51"
3540200,Pontal,37607,"356,371","105,53"
3540259,Pontalinda,4127,"209,525","19,7"
3540309,Pontes Gestal,2387,"217,505","10,97"
3540408,Populina,4127,"315,938","13,06"
3540507,Porangaba,10451,"265,689","39,34"
3540606,Porto Feliz,56497,"556,706","101,48"
3540705,Porto Ferreira,52649,"244,906","214,98"
3540754,Potim,20392,"44,643","456,78"
3540804,Potirendaba,18496,"342,492",54
3540853,Pracinha,2578,"63,054","40,89"
3540903,Pradópolis,17078,"167,378","102,03"
3541000,Praia Grande,349935,"149,652","2338,32"
3541059,Pratânia,5126,"175,1","29,27"
3541109,Presidente Alves,3804,"286,642","13,27"
3541208,Presidente Bernardes,14490,"749,233","19,34"
3541307,Presidente Epitácio,39505,"1260,281","31,35"
3541406,Presidente Prudente,225668,"560,637","402,52"
3541505,Presidente Venceslau,35201,"755,203","46,61"
3541604,Promissão,35131,"779,2","45,09"
3541653,Quadra,3405,"205,672","16,56"
3541703,Quatá,13163,"651,341","20,21"
3541802,Queiroz,3265,"234,914","13,9"
3541901,Queluz,9159,"249,399","36,72"
3542008,Quintana,7038,"318,937","22,07"
3542107,Rafard,8965,"121,645","73,7"
3542206,Rancharia,28588,"1587,498","18,01"
3542305,Redenção da Serra,4494,"309,441","14,52"
3542404,Regente Feijó,20145,"263,28","76,52"
3542503,Reginópolis,7662,"410,406","18,67"
3542602,Registro,59947,"722,201","83,01"
3542701,Restinga,6404,"245,746","26,06"
3542800,Ribeira,3132,"335,759","9,33"
3542909,Ribeirão Bonito,10989,"471,553","23,3"
3543006,Ribeirão Branco,18627,"697,5","26,71"
3543105,Ribeirão Corrente,4608,"148,332","31,07"
3543204,Ribeirão do Sul,4677,"203,208","23,02"
3543238,Ribeirão dos Índios,2025,"196,446","10,31"
3543253,Ribeirão Grande,7450,"333,363","22,35"
3543303,Ribeirão Pires,115559,"98,972","1167,59"
3543402,Ribeirão Preto,698642,"650,916","1073,32"
3543501,Riversul,5599,"385,878","14,51"
3543600,Rifaina,4049,"162,508","24,92"
3543709,Rincão,9098,"316,639","28,73"
3543808,Rinópolis,9259,"358,481","25,83"
3543907,Rio Claro,201418,"498,422","404,11"
3544004,Rio das Pedras,31328,"226,657","138,22"
3544103,Rio Grande da Serra,44170,"36,341","1215,43"
3544202,Riolândia,10309,"631,897","16,31"
3544251,Rosana,17440,"744,011","23,44"
3544301,Roseira,10832,"129,847","83,42"
3544400,Rubiácea,2700,"236,484","11,42"
3544509,Rubinéia,3833,"242,877","15,78"
